column_name,column_dtype,num_nulls,num_non_nulls,num_of_distinct_values,num_empty_strings
id,int64,0,200981,200981,0
date_of_loss_year,int64,0,200981,5,0
crash_severity,str,0,200981,2,0
cyclist_flag,str,0,200981,2,0
day_of_week,str,0,200981,7,0
derived_crash_config,str,0,200981,11,0
heavy_veh_flag,str,0,200981,2,0
intersection_crash,str,0,200981,2,0
month_of_year,str,0,200981,12,0
motorcycle_flag,str,0,200981,2,0
parked_vehicle_flag,str,0,200981,2,0
parking_lot_flag,str,0,200981,2,0
pedestrian_flag,str,0,200981,2,0
region,str,0,200981,1,0
time_category,str,0,200981,8,0
municipality,str,0,200981,321,0
road_location_description,str,0,200981,24777,0
street_full_name,str,0,200981,14140,43
total_crashes,int64,0,200981,5,0
total_victims,int64,0,200981,13,0
animal_flag,str,0,200981,2,0
cross_street_full_name,str,0,200981,7804,138149
latitude,float64,70850,130131,24222,0
longitude,float64,70850,130131,24408,0
mid_block_crash,str,0,200981,2,0
